BOARD SIZE,POP SIZE,GENERATIONS,CR,STEPSIZE,STEPS,OBSTACLES,ELITISM,ELITISM RATE,BEST FITNESS,WORST FITNESS,AVG FITNESS,BF / STEP,WF / STEP,AF / STEP,SOLVED
144,144,100,0.3,0.3,720,False,True,0.1,-165614.7,-166234.8,-165675.6505330933,-230.02041666666665,-230.88166666666672,-230.10507018485185,False
144,144,100,0.9,0.3,720,False,True,0.1,-165613.95,-166495.05,-165671.2139538909,-230.01937500000003,-231.24312500000002,-230.0989082692929,False
144,144,100,0.3,0.5,720,False,True,0.1,-165605.85,-166251.3,-165676.17737122683,-230.008125,-230.90458333333336,-230.10580190448167,False
144,144,100,0.9,0.5,720,False,True,0.1,-165607.5,-166537.35,-165661.0687655774,-230.01041666666666,-231.30187500000002,-230.08481772996862,False
144,144,200,0.3,0.3,720,False,True,0.1,-165586.8,-166056.45,-165634.32348490116,-229.98166666666663,-230.63395833333328,-230.04767150680723,False
144,144,200,0.9,0.3,720,False,True,0.1,-165574.05,-166369.05,-165617.95647787367,-229.96395833333332,-231.06812499999995,-230.0249395526023,False
144,144,200,0.3,0.5,720,False,True,0.1,-165584.4,-166072.5,-165630.83233718344,-229.9783333333333,-230.65624999999994,-230.04282269053252,False
144,144,200,0.9,0.5,720,False,True,0.1,-165598.35,-166413.45,-165632.14132514613,-229.99770833333338,-231.12979166666665,-230.04464072936958,False
144,288,100,0.3,0.3,720,False,True,0.1,-165593.7,-166307.55,-165655.7865047606,-229.99124999999998,-230.9827083333333,-230.07748125661192,False
144,288,100,0.9,0.3,720,False,True,0.1,-165588.15,-166563.0,-165643.758267214,-229.98354166666667,-231.33749999999995,-230.0607753711306,False
144,288,100,0.3,0.5,720,False,True,0.1,-165600.9,-166310.25,-165664.13174761966,-230.00124999999997,-230.98645833333336,-230.08907187169407,False
144,288,100,0.9,0.5,720,False,True,0.1,-165597.75,-166535.1,-165656.20442769423,-229.996875,-231.29875,-230.07806170513086,False
144,288,200,0.3,0.3,720,False,True,0.1,-165567.0,-166060.5,-165610.40368360843,-229.95416666666665,-230.6395833333333,-230.01444956056721,False
144,288,200,0.9,0.3,720,False,True,0.1,-165570.15,-166392.9,-165611.58242442104,-229.9585416666667,-231.10125000000002,-230.0160867005847,False
144,288,200,0.3,0.5,720,False,True,0.1,-165568.05,-166080.0,-165614.73197458746,-229.95562499999997,-230.66666666666669,-230.02046107581586,False
144,288,200,0.9,0.5,720,False,True,0.1,-165565.35,-166369.5,-165603.84436364583,-229.95187500000006,-231.06875,-230.00533939395254,False
