BOARD SIZE,POP SIZE,GENERATIONS,CR,STEPSIZE,STEPS,OBSTACLES,ELITISM,ELITISM RATE,BEST FITNESS,WORST FITNESS,AVG FITNESS,BF / STEP,WF / STEP,AF / STEP,SOLVED
144,144,100,0.3,0.3,720,False,False,0.1,-165693.45,-166162.8,-165890.36458333334,-230.12979166666665,-230.7816666666667,-230.40328414351853,False
144,144,100,0.9,0.3,720,False,False,0.1,-165696.15,-166193.55,-165898.77187499998,-230.13354166666667,-230.824375,-230.41496093749998,False
144,144,100,0.3,0.5,720,False,False,0.1,-165704.7,-166167.9,-165901.11041666666,-230.14541666666665,-230.78875000000002,-230.41820891203702,False
144,144,100,0.9,0.5,720,False,False,0.1,-165734.55,-166219.05,-165934.746875,-230.18687500000001,-230.85979166666667,-230.46492621527779,False
144,144,200,0.3,0.3,720,False,False,0.1,-165694.2,-166025.25,-165849.37604166666,-230.13083333333333,-230.590625,-230.34635561342597,False
144,144,200,0.9,0.3,720,False,False,0.1,-165693.9,-166026.3,-165860.16145833334,-230.13041666666672,-230.59208333333336,-230.36133535879625,False
144,144,200,0.3,0.5,720,False,False,0.1,-165705.9,-166035.15,-165862.8541666667,-230.14708333333334,-230.60437499999998,-230.36507523148148,False
144,144,200,0.9,0.5,720,False,False,0.1,-165721.5,-166072.65,-165890.49166666664,-230.16875,-230.6564583333333,-230.40346064814813,False
144,288,100,0.3,0.3,720,False,False,0.1,-165683.7,-166200.3,-165892.39166666666,-230.11624999999998,-230.83374999999995,-230.40609953703702,False
144,288,100,0.9,0.3,720,False,False,0.1,-165689.25,-166194.15,-165898.79166666666,-230.1239583333333,-230.82520833333334,-230.41498842592597,False
144,288,100,0.3,0.5,720,False,False,0.1,-165693.45,-166220.85,-165905.26875,-230.12979166666665,-230.86229166666666,-230.423984375,False
144,288,100,0.9,0.5,720,False,False,0.1,-165712.8,-166260.45,-165936.66666666663,-230.1566666666667,-230.91729166666664,-230.4675925925926,False
144,288,200,0.3,0.3,720,False,False,0.1,-165679.2,-166023.6,-165850.52968749998,-230.11000000000004,-230.5883333333333,-230.34795789930553,False
144,288,200,0.9,0.3,720,False,False,0.1,-165664.5,-166039.5,-165857.03281249997,-230.0895833333333,-230.61041666666665,-230.3569900173611,False
144,288,200,0.3,0.5,720,False,False,0.1,-165673.95,-166067.85,-165862.1421875,-230.10270833333334,-230.64979166666672,-230.3640863715278,False
144,288,200,0.9,0.5,720,False,False,0.1,-165694.95,-166106.85,-165891.3479166667,-230.13187500000004,-230.70395833333333,-230.4046498842592,False
