BOARD SIZE,POP SIZE,GENERATIONS,CR,STEPSIZE,STEPS,OBSTACLES,ELITISM,ELITISM RATE,BEST FITNESS,WORST FITNESS,AVG FITNESS,BF / STEP,WF / STEP,AF / STEP,SOLVED
64,128,100,0.3,0.3,320,False,True,0.1,-31285.3,-33062.1,-32429.085231524787,-97.76656249999999,-103.3190625,-101.34089134851499,True
64,128,100,0.9,0.3,320,False,True,0.1,-29322.7,-33102.0,-31468.013903180545,-91.6334375,-103.44375,-98.3375434474392,False
64,128,100,0.3,0.5,320,False,True,0.1,-32649.45,-33064.65,-32690.469539289054,-102.02953125,-103.32703125000003,-102.1577173102783,False
64,128,100,0.9,0.5,320,False,True,0.1,-30957.45,-33110.4,-31423.753235110693,-96.74203125,-103.47,-98.1992288597209,False
64,128,200,0.3,0.3,320,False,True,0.1,-29519.6,-32996.1,-30617.961401206518,-92.24875,-103.11281249999999,-95.68112937877036,False
64,128,200,0.9,0.3,320,False,True,0.1,-30758.8,-33087.9,-31737.14190496709,-96.12124999999999,-103.3996875,-99.17856845302217,False
64,128,200,0.3,0.5,320,False,True,0.1,-27956.15,-32997.0,-30871.355296145415,-87.36296875000002,-103.11562499999998,-96.4729853004544,False
64,128,200,0.9,0.5,320,False,True,0.1,-31276.6,-33084.0,-31570.528421733005,-97.739375,-103.3875,-98.65790131791564,False
64,64,100,0.3,0.3,320,False,True,0.1,-31524.9,-33048.45,-32005.065391263353,-98.51531250000001,-103.27640625,-100.01582934769799,False
64,64,100,0.9,0.3,320,False,True,0.1,-32650.35,-33099.75,-32687.343950345698,-102.03234375000001,-103.43671875,-102.14794984483031,False
64,64,100,0.3,0.5,320,False,True,0.1,-31464.1,-33056.85,-31839.784435889374,-98.32531250000001,-103.30265625000001,-99.4993263621543,False
64,64,100,0.9,0.5,320,False,True,0.1,-32659.8,-33094.65,-32695.861706473916,-102.06187500000001,-103.42078125,-102.174567832731,False
64,64,200,0.3,0.3,320,False,True,0.1,-29552.65,-32982.0,-31708.905555116868,-92.35203125000001,-103.06875,-99.09032985974021,False
64,64,200,0.9,0.3,320,False,True,0.1,-32656.2,-33095.4,-32674.072954832587,-102.05062500000001,-103.423125,-102.10647798385187,False
64,64,200,0.3,0.5,320,False,True,0.1,-32640.9,-32984.4,-32670.269334333552,-102.0028125,-103.07625,-102.09459166979234,False
64,64,200,0.9,0.5,320,False,True,0.1,-29434.0,-33082.65,-30418.057225205303,-91.98124999999999,-103.38328125000001,-95.05642882876658,False
