BOARD SIZE,POP SIZE,GENERATIONS,CR,STEPSIZE,STEPS,OBSTACLES,ELITISM,ELITISM RATE,BEST FITNESS,WORST FITNESS,AVG FITNESS,BF / STEP,WF / STEP,AF / STEP,SOLVED
64,128,100,0.3,0.3,320,False,False,0.1,-32722.8,-33035.55,-32850.421875,-102.25875,-103.23609375000001,-102.657568359375,False
64,128,100,0.9,0.3,320,False,False,0.1,-32730.0,-33035.4,-32856.2484375,-102.28125,-103.235625,-102.67577636718752,False
64,128,100,0.3,0.5,320,False,False,0.1,-32716.35,-33028.2,-32853.233203125,-102.23859375,-103.21312499999999,-102.66635375976564,False
64,128,100,0.9,0.5,320,False,False,0.1,-32739.75,-33027.75,-32873.66484375,-102.31171874999998,-103.21171875,-102.73020263671874,False
64,128,200,0.3,0.3,320,False,False,0.1,-32712.15,-32956.5,-32816.6390625,-102.22546875,-102.9890625,-102.5519970703125,False
64,128,200,0.9,0.3,320,False,False,0.1,-32709.0,-32961.75,-32821.667578125,-102.215625,-103.00546875,-102.56771118164063,False
64,128,200,0.3,0.5,320,False,False,0.1,-32712.75,-32967.6,-32822.380078125,-102.22734375000002,-103.02374999999999,-102.56993774414062,False
64,128,200,0.9,0.5,320,False,False,0.1,-32721.15,-32974.05,-32840.65078125,-102.25359375000001,-103.04390625,-102.62703369140627,False
64,64,100,0.3,0.3,320,False,False,0.1,-32734.8,-33020.85,-32852.03671875,-102.29625,-103.19015625,-102.66261474609375,False
64,64,100,0.9,0.3,320,False,False,0.1,-32737.35,-33014.25,-32857.28671875,-102.30421875,-103.16953125,-102.67902099609375,False
64,64,100,0.3,0.5,320,False,False,0.1,-32725.8,-33006.0,-32856.6984375,-102.26812500000001,-103.14375,-102.67718261718751,False
64,64,100,0.9,0.5,320,False,False,0.1,-32741.1,-33016.8,-32872.54453125,-102.31593750000002,-103.17749999999998,-102.72670166015624,False
64,64,200,0.3,0.3,320,False,False,0.1,-32718.3,-32944.65,-32817.103125,-102.2446875,-102.95203125,-102.55344726562501,False
64,64,200,0.9,0.3,320,False,False,0.1,-32724.6,-32946.6,-32822.09296875,-102.26437499999999,-102.95812500000002,-102.56904052734376,False
64,64,200,0.3,0.5,320,False,False,0.1,-32721.45,-32946.0,-32820.64921875,-102.25453124999999,-102.95625,-102.56452880859376,False
64,64,200,0.9,0.5,320,False,False,0.1,-32726.25,-32955.45,-32838.70546875,-102.26953124999999,-102.98578125000002,-102.62095458984376,False
